"Data Source","World Development Indicators",

"Last Updated Date","2017-01-03",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Bahrain","BHR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19010","26430","27180","29320","28940","30960","32100","31560","32710","32900","34630","34440","34030","35420","36730","38430","39060","40090","39060","34940","35500","34170","35590","37380","37620","38660","",
"Bahamas, The","BHS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14840","14380","14330","14220","14710","18250","20690","16740","18080","19230","20130","20720","21190","21010","21380","22070","22780","23260","23160","21760","21770","22020","22690","22560","22250","21970","",
"Bosnia and Herzegovina","BIH","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","790","1010","2090","2930","4380","4690","4840","5100","5350","5600","6010","6680","7550","8260","9120","9020","9090","9500","9780","10250","10500","10680","",
"Belarus","BLR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5220","5330","4920","4640","4180","3830","4030","4570","5030","5310","5760","6220","6690","7380","8510","9680","10990","12230","13740","13760","15060","16410","16820","17040","17710","16870","",
"Belize","BLZ","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3290","3650","4080","4350","4350","4370","4360","4440","4450","4670","5170","5310","5540","5900","6050","6290","6610","6530","6720","7060","6990","7350","7520","7590","7800","8020","",
"Bermuda","BMU","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26490","26490","27070","28390","28970","30660","","","","","","","","","","","","75090","74800","68450","68910","68110","67140","66670","","","",
"Bolivia","BOL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2280","2440","2520","2630","2770","2900","3050","3180","3330","3320","3400","3480","3550","3610","3770","4020","4280","4510","4830","4910","5070","5330","5540","5910","6320","6710","",
"Brazil","BRA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6450","6680","6720","7050","7360","7740","8010","8250","8130","8100","8570","8770","9070","9220","9930","10440","11030","11870","12510","12470","13880","14580","14750","15110","15650","15050","",
"Barbados","BRB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8300","8270","8050","8260","8600","8900","9370","9980","10380","10480","11140","11060","11260","11700","12130","12820","13700","14530","14620","14260","14660","14340","15060","15160","15400","15610","",
"Brunei Darussalam","BRN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55120","57100","59460","59370","60870","63250","64630","63240","62140","63630","65560","67570","69950","72120","73190","74540","78850","80110","78660","76680","77420","79130","80340","79780","78870","82140","",
